ABG-organisatie; Alphen; art. 1.2.1.h. WGR; JenV
Stichting Maatschappelijk Welzijn Coevorden; Coevorden; art. 1.3.1.c. subsidie; BZK
Stichting Maatschappelijk Werk en Welzijn Oosterschelderegio (SMWO); Goes; art. 1.3.1.c. subsidie; BZK
Stichting Maatschappelijk Werk Fryslân; Heerenveen; art. 1.3.1.c. subsidie; BZK
Stichting Maatschappelijke Dienstverlening Amsterdam Zuidoost en Diemen; Amsterdam; art. 1.3.1.c. subsidie; BZK
Stichting Maatschappelijke Dienstverlening Enschede-Haaksbergen; Enschede; art. 1.3.1.c. subsidie; BZK
Stichting Maatschappelijke Dienstverlening Flevoland; Lelystad; art. 1.3.1.c. subsidie; BZK
Stichting Maatschappelijke Dienstverlening Rijnmond Plus; Rotterdam; art. 1.3.1.c. subsidie; BZK
Stichting Maatschappelijke Dienstverlening Zaanstreek/Waterland; Zaandam; art. 1.3.1.c. subsidie; BZK
Stichting Maatschappelijke Onderneming Smallingerland; Drachten; art. 1.3.1.c. subsidie; BZK
Stichting Maatvast Haarlemmermeer; Lisserbroek; art. 1.3.1.b. invloed; BZK
Stichting Malkander; Ede; art. 1.3.1.c. subsidie; BZK
Stichting Mama Cash; Amsterdam; bijlagen WNT; BZ
Stichting Marine Cantine Dienst (Marcandi); Den Helder; art. 1.3.1.b. invloed; Defensie
Stichting Maritiem Museum Rotterdam; Rotterdam; art. 1.3.1.b. invloed; BZK
Stichting Maritiem Research Instituut Nederland; Wageningen; art. 1.3.1.b. invloed; EZK
Stichting Marketing Binnenstad Winschoten; Winschoten; art. 1.3.1.b. invloed; BZK
Stichting Marketing Katwijk; Rijnsburg; art. 1.3.1.b. invloed; BZK
Stichting Marketing Zaanstreek; Zaandam; art. 1.3.1.b. invloed; BZK
Stichting Marres, huis voor hedendaagse cultuur; Maastricht; art. 1.3.1.c. subsidie; BZK
Stichting Match Onderwijs en Cultuur Amsterdam; Amsterdam; art. 1.3.1.c. subsidie; BZK
Stichting MeanderOmnium; Zeist; art. 1.3.1.c. subsidie; BZK
Stichting MEE Amstel en Zaan; Amsterdam; art. 1.3.1.c. subsidie; BZK
Stichting MEE Friesland, Ondersteuning bij leven met een beperking; Leeuwarden; art. 1.3.1.c. subsidie; BZK
Stichting MEE Noordwest-Holland (Alkmaar); Alkmaar; art. 1.3.1.c. subsidie; BZK
Stichting Mee Plus; Hendrik-Ido-Ambacht; art. 1.3.1.c. subsidie; BZK
Stichting MEE Samen; Zwolle; art. 1.3.1.c. subsidie; BZK
Stichting MEE Utrecht, Gooi & Vecht; Utrecht; art. 1.3.1.c. subsidie; BZK
Stichting Meer Voormekaar; Wijchen; art. 1.3.1.c. subsidie; BZK
Stichting Meerwaarde; Hoofddorp; art. 1.3.1.c. subsidie; BZK
Stichting Meld Misdaad Anoniem; Hoevelaken; art. 1.3.1.c. subsidie; JenV
Stichting MENS de Bilt; De Bilt; art. 1.3.1.c. subsidie; BZK
Stichting Midpoint Brabant; Tilburg; art. 1.3.1.b. invloed; BZK
Stichting Mikado; Duiven; art. 1.3.1.c. subsidie; BZK
Stichting Milieu Centraal; Utrecht; art. 1.3.1.c. subsidie; IenW
Stichting 'Milieu-Educatief Centrum Maarssen M.E.C.'; Maarssen; art. 1.3.1.b. invloed; BZK
Stichting Milieukeur; Den Haag; art. 1.3.1.c. subsidie; IenW
Stichting Minters; Vlaardingen; art. 1.3.1.c. subsidie; BZK
Stichting Mommerskwartier; Tilburg; art. 1.3.1.b. invloed; BZK
Stichting Monumentenbehoud Dongeradeel; Dokkum; art. 1.3.1.b. invloed; BZK
Stichting MOOI; 's-Gravenhage; art. 1.3.1.c. subsidie; BZK
Stichting MOvactor Zorg en Welzijn; Nieuwegein; art. 1.3.1.c. subsidie; BZK
Stichting Mozaïek welzijnsdiensten; Tiel; art. 1.3.1.c. subsidie; BZK
Stichting 'Munttheater'; Weert; art. 1.3.1.c. subsidie; BZK
Stichting Museon (Museum voor het Onderwijs); 's-Gravenhage; art. 1.3.1.c. subsidie; BZK
Stichting Museum Arnhem; Arnhem; art. 1.3.1.c. subsidie; BZK
Stichting Museum Henkenshage; Heeze; art. 1.3.1.b. invloed; BZK
Stichting Museum het Valkhof-Kam; Nijmegen; art. 1.3.1.c. subsidie; BZK
Stichting Museum Hilversum; Hilversum; art. 1.3.1.c. subsidie; BZK
Stichting Museum Ons' Lieve Heer op Solder; Amsterdam; art. 1.3.1.c. subsidie; BZK
Stichting Museum Rotterdam; Rotterdam; art. 1.3.1.b. invloed; BZK
Stichting Museum voor Religieuze Kunst; Uden; art. 1.3.1.b. invloed; BZK
Stichting Museumplein Limburg, musea voor aarde, design en wetenschap; Kerkrade; art. 1.3.1.b. invloed; BZK
Stichting Music Matters; Rotterdam; art. 1.3.1.c. subsidie; BZK
Stichting Musica Sacra; Maastricht; art. 1.3.1.c. subsidie; BZK
Stichting Musis & Stadstheater Arnhem; Arnhem; art. 1.3.1.c. subsidie; BZK
Stichting Muziekcentrum Zuidoost; Amsterdam; art. 1.3.1.c. subsidie; BZK
Stichting Muziekgebouw aan 't IJ; Amsterdam; art. 1.3.1.c. subsidie; BZK
Stichting Muziekgieterij; Maastricht; art. 1.3.1.c. subsidie; BZK
Stichting Muziekschool Amsterdam; Amsterdam; art. 1.3.1.c. subsidie; BZK
Stichting Muziekschool Amsterdam Noord; Amsterdam; art. 1.3.1.c. subsidie; BZK
Stichting Muziekschool Barneveld; Barneveld; art. 1.3.1.b. invloed; BZK
Stichting Muziekschool Oost-Gelderland; Doetinchem; art. 1.3.1.b. invloed; BZK
Stichting Muziekschool Waterland; Purmerend; art. 1.3.1.c. subsidie; BZK
Stichting MVO Nederland; Utrecht; bijlagen WNT; BZ
Stichting Myouthic; Thorn; art. 1.3.1.c. subsidie; BZK
Stichting Nationaal Energiebespaarfonds; Hilversum; art. 1.3.1.b. invloed; BZK
Stichting Nationaal Lucht- en Ruimtevaartlaboratorium; Amsterdam; art. 1.3.1.b. invloed; EZK
Stichting Nationaal Veiligheidsinstituut; Almere; art. 1.3.1.c. subsidie; JenV
Stichting Nationale Jeugdorkesten Nederland; Apeldoorn; art. 1.3.1.c. subsidie; BZK
Stichting Nationale Nautische Verkeersdienst Opleiding; Schiedam; art. 1.3.1.b. invloed; IenW
Stichting Natuurhistorisch Museum Rotterdam; Rotterdam; art. 1.3.1.c. subsidie; BZK
Stichting Natuurmuseum Brabant; Tilburg; art. 1.3.1.c. subsidie; BZK
Stichting Natuurstad Rotterdam; Rotterdam; art. 1.3.1.b. invloed; BZK
Stichting Nazorg Ouwsterhaule; Leeuwarden; art. 1.3.1.b. invloed; BZK
Stichting NB; Amsterdam; art. 1.3.1.c. subsidie; BZK
Stichting NBTC Holland Marketing; 's-Gravenhage; art. 1.3.1.b. invloed; EZK
Stichting Nederlands Werkgevers Samenwerkingsprogramma; 's-Gravenhage; bijlagen WNT; BZ
Stichting Nederlandse Algemene Keuringsdienst voor Zaaizaad en Pootgoed van Landbouwgewassen; Emmeloord; art. 1.3.1.a. openbaar gezag; LNV
Stichting Nederlandse Algemene Kwaliteitsdienst Tuinbouw; Roelofarendsveen; art. 1.3.1.a. openbaar gezag; LNV
Stichting Nederlandse Veteranendag; 's-Gravenhage; art. 1.3.1.c. subsidie; Defensie
Stichting Nederlandse Wetenschappelijk Onderzoek Instituten; Utrecht; art. 1.3.1.c. subsidie; BZK
Stichting Netherlands Food Patnership; Utrecht; bijlagen WNT; BZ
Stichting Netherlands Institute for Multiparty Democracy; 's-Gravenhage; bijlagen WNT; BZ
Stichting Netherlands Water Partnership (Nwp); 's-Gravenhage; bijlagen WNT; BZ
Stichting Netwerk; Hoorn; art. 1.3.1.c. subsidie; BZK
Stichting Nidos; Utrecht; art. 1.3.1.c. subsidie; JenV
stichting NL International Business; Den Haag; bijlagen WNT; BZ
Stichting NMCX, Centrum voor Duurzaamheid; Hoofddorp; art. 1.3.1.c. subsidie; BZK
Stichting Noodopvang Dakloze Vreemdelingen Utrecht; Utrecht; art. 1.3.1.c. subsidie; BZK
Stichting Noord Oost Brabantse Bibliotheken; Oss; art. 1.3.1.c. subsidie; BZK
Stichting NWB Fonds; 's-Gravenhage; art. 1.3.1.b. invloed; BZK
Stichting Omroeporganisatie Groningen; Groningen; art. 1.3.1.c. subsidie; BZK
Stichting Onderhandelingen Thuiskopievergoeding; 's-Gravenhage; art. 1.3.1.b. invloed; JenV
Stichting Ondernemerscentrum Liberne; Veendam; art. 1.3.1.b. invloed; BZK
Stichting Ondersteuning Commissie Regionaal Overleg Luchthaven Eelde; Hoogezand; art. 1.3.1.b. invloed; IenW
Stichting ondersteuning Commissie regionaal overleg luchthaven Lelystad; Lelystad; art. 1.3.1.b. invloed; IenW
Stichting Ondersteuning Commissie Regionaal Overleg Luchthaven Maastricht; Maastricht; art. 1.3.1.b. invloed; IenW
Stichting Ondersteuning Commissie Regionaal Overleg Luchthaven Rotterdam; 's-Gravenhage; art. 1.3.1.b. invloed; IenW
Stichting ondersteuning Omgevingsraad Schiphol (SOORS); Hoofddorp; art. 1.3.1.b. invloed; IenW
Stichting Onderwijs Voorrang Eemland; Amersfoort; art. 1.3.1.c. subsidie; BZK
Stichting Ons Welzijn; Oss; art. 1.3.1.c. subsidie; BZK
Stichting Ontmoetingshuis Veenendaal-oost; Veenendaal; art. 1.3.1.b. invloed; BZK
Stichting Ontwikkelingsfonds Werklocaties SGE; Eindhoven; art. 1.3.1.b. invloed; BZK
Stichting Oosterhout in Beweging; Oosterhout; art. 1.3.1.c. subsidie; BZK
Stichting Open Rotterdam; Rotterdam; art. 1.3.1.c. subsidie; BZK
Stichting Openbare Bibliotheek AanZet; Dordrecht; art. 1.3.1.c. subsidie; BZK
Stichting Openbare Bibliotheek Almere; Almere; art. 1.3.1.c. subsidie; BZK
Stichting Openbare Bibliotheek Amsterdam; Amsterdam; art. 1.3.1.c. subsidie; BZK
Stichting Openbare Bibliotheek Assen; Assen; art. 1.3.1.c. subsidie; BZK
Stichting Openbare Bibliotheek Barneveld; Barneveld; art. 1.3.1.c. subsidie; BZK
Stichting Openbare Bibliotheek Dalfsen/Nieuwleusen; Dalfsen; art. 1.3.1.c. subsidie; BZK
Stichting openbare bibliotheek 'De Boekenberg'; Spijkenisse; art. 1.3.1.c. subsidie; BZK
Stichting Openbare Bibliotheek Eindhoven; Eindhoven; art. 1.3.1.c. subsidie; BZK
Stichting Openbare Bibliotheek Gouda; Gouda; art. 1.3.1.c. subsidie; BZK
Stichting Openbare Bibliotheek Heiloo; Heiloo; art. 1.3.1.c. subsidie; BZK
Stichting Openbare Bibliotheek Heusden; Oudheusden; art. 1.3.1.c. subsidie; BZK
Stichting openbare bibliotheek Huizen-Laren-Blaricum; Huizen; art. 1.3.1.c. subsidie; BZK
Stichting Openbare Bibliotheek Kampen; Kampen; art. 1.3.1.c. subsidie; BZK
Stichting Openbare Bibliotheek Katwijk; Katwijk; art. 1.3.1.c. subsidie; BZK
Stichting Openbare Bibliotheek Kop van Overijssel; Steenwijk; art. 1.3.1.c. subsidie; BZK
Stichting Openbare Bibliotheek Oldenzaal; Oldenzaal; art. 1.3.1.c. subsidie; BZK
Stichting Openbare Bibliotheek Smallingerland; Drachten; art. 1.3.1.c. subsidie; BZK
Stichting Openbare Bibliotheek Twenterand; Vriezenveen; art. 1.3.1.c. subsidie; BZK
Stichting Openbare Bibliotheek Veenendaal; Veenendaal; art. 1.3.1.c. subsidie; BZK
Stichting Openbare Bibliotheek Venlo; Venlo; art. 1.3.1.c. subsidie; BZK
Stichting Openbare Bibliotheek Voorschoten-Wassenaar; Wassenaar; art. 1.3.1.c. subsidie; BZK
Stichting Openbare Bibliotheek Wageningen; Wageningen; art. 1.3.1.c. subsidie; BZK
Stichting Openbare Bibliotheek Waterland (Basisbibliotheek); Purmerend; art. 1.3.1.c. subsidie; BZK
Stichting Openbare Bibliotheek Zoetermeer; Zoetermeer; art. 1.3.1.c. subsidie; BZK
Stichting Openbare Bibliotheekvoorzieningen Langedijk; Zuid-Scharwoude; art. 1.3.1.c. subsidie; BZK
Stichting Openbare Bibliotheken Hardenberg; Hardenberg; art. 1.3.1.c. subsidie; BZK
Stichting Openbare Bibliotheken in de Gemeente Emmen; Emmen; art. 1.3.1.c. subsidie; BZK
Stichting Openbare Bibliotheken Maas en Peel; Reuver; art. 1.3.1.c. subsidie; BZK
Stichting Openbare Bibliotheken Noord Fryslân; Franeker; art. 1.3.1.c. subsidie; BZK
Stichting Openbare Leeszaal en Bibliotheek Hengelo; Hengelo; art. 1.3.1.c. subsidie; BZK
Stichting Opus 3, Centrum voor Muziek in Noordoost Friesland; Dokkum; art. 1.3.1.c. subsidie; BZK
Stichting Opzoomer Mee Rotterdam; Rotterdam; art. 1.3.1.c. subsidie; BZK
Stichting OTP; Groningen; art. 1.3.1.b. invloed; BZK
Stichting Overijsselse Bibliotheek Dienst; Deventer; art. 1.3.1.c. subsidie; BZK
Stichting Pantar Amsterdam; Diemen; art. 1.3.1.b. invloed; BZK
Stichting Parkmanagement Bedrijvenpark Oudeland(PMBO); Berkel en Rodenrijs; art. 1.3.1.b. invloed; BZK
Stichting Parkmanagement Waarderpolder; Haarlem; art. 1.3.1.b. invloed; BZK
Stichting Parkvilla; Alphen aan den Rijn; art. 1.3.1.c. subsidie; BZK
Stichting Participatie Dinkelland; Denekamp; art. 1.3.1.b. invloed; BZK
Stichting Participe Alphen aan den Rijn; Alphen aan den Rijn; art. 1.3.1.c. subsidie; BZK
Stichting Participe Delft; Delft; art. 1.3.1.c. subsidie; BZK
Stichting Participe Holding; Alphen aan den Rijn; art. 1.3.1.c. subsidie; BZK
Stichting Participe Projecten; Alphen aan den Rijn; art. 1.3.1.c. subsidie; BZK
Stichting Partners in Welzijn; Beek; art. 1.3.1.c. subsidie; BZK
Stichting Passantenhaven Terschelling; West-Terschelling; art. 1.3.1.b. invloed; BZK
Stichting Passionate Bulkboek; Rotterdam; art. 1.3.1.c. subsidie; BZK
Stichting Perspectief Herstelbemiddeling; Utrecht; art. 1.3.1.c. subsidie; JenV
Stichting Perspectief Zutphen; Zutphen; art. 1.3.1.c. subsidie; BZK
Stichting Peuter&Co; Rotterdam; art. 1.3.1.c. subsidie; BZK
Stichting Peutercentra Arnhem; Arnhem; art. 1.3.1.c. subsidie; BZK
Stichting Peuteropvang Heerlen; Heerlen; art. 1.3.1.c. subsidie; BZK
Stichting Peuterspeelzalen Alphen aan den Rijn; Alphen aan den Rijn; art. 1.3.1.c. subsidie; BZK
Stichting Peuterspeelzalen Kinderopvang OOK; Zwolle; art. 1.3.1.c. subsidie; BZK
Stichting Peuterspeelzalen Steenwijkerland; Steenwijk; art. 1.3.1.c. subsidie; BZK
Stichting Piëzo; Zoetermeer; art. 1.3.1.c. subsidie; BZK
Stichting Platform31; 's-Gravenhage; bijlagen WNT; BZK
Stichting Podium de Vorstin; Hilversum; art. 1.3.1.c. subsidie; BZK
Stichting Pon; Tilburg; art. 1.3.1.c. subsidie; BZK
Stichting Poppodium Grenswerk; Venlo; art. 1.3.1.c. subsidie; BZK
Stichting Primair onderwijs Arnhem in Samenwerking; Arnhem; art. 1.3.1.c. subsidie; BZK
Stichting Prins Claus Fonds voor Cultuur en Ontwikkeling; Amsterdam; bijlagen WNT; BZ
Stichting Prins27; 's-Gravenhage; art. 1.3.1.c. subsidie; BZK
Stichting ProDemos - Huis voor democratie en rechtsstaat; 's-Gravenhage; bijlagen WNT; BZK
Stichting Programma Uitzending Managers; 's-Gravenhage; bijlagen WNT; BZ
Stichting Programmabureau Amsterdam Zuidoost; Amsterdam; art. 1.3.1.c. subsidie; BZK
Stichting Projectbureau Masterplan Noordzeekanaalgebied; IJmuiden; art. 1.3.1.b. invloed; BZK
Stichting Projectenbureau Publieke Gezondheid en Veiligheid Nederland; Utrecht; art. 1.3.1.b. invloed; BZK
Stichting Promotie Beemster Werelderfgoed; Middenbeemster; art. 1.3.1.b. invloed; BZK
Stichting Promotie Uithoorn; Amsterdam; art. 1.3.1.b. invloed; BZK
Stichting Provinciaal Museum Limburg (Het Bonnefantenmuseum); Maastricht; art. 1.3.1.c. subsidie; BZK
Stichting Publieke Gezondheid Gelderland-Midden; Arnhem; art. 1.3.1.b. invloed; BZK
Stichting Publieke Omroep Amsterdam; Amsterdam; art. 1.3.1.c. subsidie; BZK
Stichting Pulse; IJsselstein; art. 1.3.1.c. subsidie; BZK
Stichting Punt Welzijn; Weert; art. 1.3.1.c. subsidie; BZK
Stichting PuurZuid MaDi; Amsterdam; art. 1.3.1.c. subsidie; BZK
Stichting Raad voor Accreditatie (RvA); Utrecht; art. 1.3.1.a. openbaar gezag; EZK
Stichting Rabarber; 's-Gravenhage; art. 1.3.1.c. subsidie; BZK
Stichting Radar WMO diensten; Rotterdam; art. 1.3.1.c. subsidie; BZK
Stichting Radio La Benevolencija\Humanitarian Tools Foundation; Amsterdam; bijlagen WNT; BZ
Stichting Radius; Leiden; art. 1.3.1.c. subsidie; BZK
Stichting Raster; Deventer; art. 1.3.1.c. subsidie; BZK
Stichting Ravelijn; Amersfoort; art. 1.3.1.c. subsidie; BZK
Stichting Recht en Overheid; 's-Gravenhage; bijlagen WNT; JenV
Stichting Reclassering Nederland; Utrecht; bijlagen WNT; JenV
Stichting Regiobibliotheek Utrecht Zuid West; Woerden; art. 1.3.1.c. subsidie; BZK
Stichting Regiocultuurcentrum Idea; Zeist; art. 1.3.1.c. subsidie; BZK
Stichting Regionaal Bureau voor Toerisme Arnhem Nijmegen  Veluwe; Elst Gld; art. 1.3.1.b. invloed; BZK
Stichting Regionaal Inkoopbureau IJmond en Kennemerland; Heemstede; art. 1.3.1.b. invloed; BZK
Stichting Regionaal Instituut Cultuur en Kunsteducatie; Weert; art. 1.3.1.c. subsidie; BZK
Stichting Regionaal Platform Arbeidsmarktbeleid Haaglanden; 's-Gravenhage; art. 1.2.1.h. WGR; BZK
Stichting Regionale Anti Discriminatie Actie Raad; Rotterdam; art. 1.3.1.c. subsidie; BZK
Stichting Rekenkamer West Twente; Rijssen; art. 1.3.1.b. invloed; BZK
Stichting Rekreatiebelangen Vlieland; Vlieland; art. 1.3.1.b. invloed; BZK
Stichting Renesse; Renesse; art. 1.3.1.b. invloed; BZK
Stichting Rijk van Nijmegen@; Nijmegen; art. 1.3.1.b. invloed; BZK
Stichting Rijnstad; Arnhem; art. 1.3.1.c. subsidie; BZK
Stichting RNW Media; Hilversum; bijlagen WNT; BZ
Stichting ROGplus Nieuwe Waterweg Noord; Maassluis; art. 1.3.1.c. subsidie; BZK
Stichting Rotterdam Festivals; Rotterdam; art. 1.3.1.c. subsidie; BZK
Stichting Rotterdam Sportsupport; Rotterdam; art. 1.3.1.c. subsidie; BZK
Stichting Rotterdam Topsport; Rotterdam; art. 1.3.1.c. subsidie; BZK
Stichting Routebureau Arnhem-Nijmegen; Elst; art. 1.3.1.b. invloed; BZK
Stichting Rutgers; Utrecht; bijlagen WNT; BZ
Stichting Saam Welzijn; Nieuwleusen; art. 1.3.1.c. subsidie; BZK
Stichting Samen Veilig Midden-Nederland; Utrecht; art. 1.3.1.c. subsidie; BZK
'Stichting Samen Werken'; Bergen op Zoom; art. 1.3.1.b. invloed; BZK
Stichting Samenwerking Beroepsonderwijs Bedrijfsleven; Zoetermeer; art. 1.3.1.c. subsidie; BZK
Stichting Samenwerking Christelijke Maatschappelijke Activering te Rotterdam; Rotterdam; art. 1.3.1.c. subsidie; BZK
Stichting Samenwerking Sociale Fondsen; 's-Gravenhage; art. 1.3.1.b. invloed; BZK
Stichting Samenwonen-Samenleven; Amsterdam; art. 1.3.1.c. subsidie; BZK
Stichting Save The Children Nederland; 's-Gravenhage; bijlagen WNT; BZ
Stichting Scala; Oosterwolde Fr; art. 1.3.1.c. subsidie; BZK
Stichting Scala-Centrum voor de kunsten; Meppel; art. 1.3.1.c. subsidie; BZK
Stichting Schiedamse Theaters; Schiedam; art. 1.3.1.c. subsidie; BZK
Stichting School Maatschappelijk Werk Rijnmond (SMWR); Rotterdam; art. 1.3.1.c. subsidie; BZK
Stichting SCIANDRI Vrijetijdsbesteding; Alkmaar; art. 1.3.1.c. subsidie; BZK
Stichting Scouting Gelderland; Arnhem; art. 1.3.1.c. subsidie; BZK
Stichting Seewyn Kunsteducatie; Franeker; art. 1.3.1.c. subsidie; BZK
Stichting Seniorenwelzijn Maassluis, Vlaardingen, Schiedam; Schiedam; art. 1.3.1.c. subsidie; BZK
Stichting Sensoor de landelijke luisterlijn; Utrecht; art. 1.3.1.c. subsidie; BZK
Stichting Servicepunt & Tympaan-de Baat; Mijdrecht; art. 1.3.1.c. subsidie; BZK
Stichting SEZO; Amsterdam; art. 1.3.1.c. subsidie; BZK
Stichting Simavi; Amsterdam; bijlagen WNT; BZ
Stichting Skal; Zwolle; art. 1.3.1.a. openbaar gezag; LNV
Stichting Slachtofferhulp Nederland; Utrecht; bijlagen WNT; JenV
Stichting SMK; Kerkrade; art. 1.3.1.c. subsidie; BZK
Stichting SNV Nederlandse Ontwikkelingsorganisatie; 's-Gravenhage; bijlagen WNT; BZ
Stichting Sociaal Cultureel en Educatief Werk Boerenplein; 's-Gravenhage; art. 1.3.1.c. subsidie; BZK
Stichting Sociaal Cultureel en Maatschappelijk Werk (Impuls); Heerlen; art. 1.3.1.c. subsidie; BZK
Stichting Sociaal Fonds Groningen; Groningen; art. 1.3.1.b. invloed; BZK
Stichting Sociaal Ondernemend Opbouwwerk Zuid (SOOZ); Amsterdam; art. 1.3.1.c. subsidie; BZK
Stichting Sociaal Werk Oldambt; Winschoten; art. 1.3.1.c. subsidie; BZK
Stichting Sociaal-Cultureel Centrum Alblasserdam; Alblasserdam; art. 1.3.1.c. subsidie; BZK
Stichting Social Leisure (SSL); Noord-Scharwoude; art. 1.3.1.b. invloed; BZK
Stichting Sociale Werkvoorziening Industriële Toelevering en Service te Gennep; Heijen; art. 1.3.1.b. invloed; BZK
Stichting Sociale wijkteams Almelo; Almelo; art. 1.3.1.c. subsidie; BZK
Stichting Socius Maatschappelijk Dienstverleners; Heemskerk; art. 1.3.1.c. subsidie; BZK
Stichting SOL Samen Ondernemend Leren; Rotterdam; art. 1.3.1.c. subsidie; BZK
Stichting Solidaridad; Utrecht; bijlagen WNT; BZ
Stichting Special Heroes Nederland; Arnhem; art. 1.3.1.c. subsidie; BZK
Stichting Speeltuinen in Noord; Amsterdam; art. 1.3.1.c. subsidie; BZK
Stichting Spelenderwijs Utrecht; Utrecht; art. 1.3.1.c. subsidie; BZK
Stichting Spelerwijs Hoogeveen; Hoogeveen; art. 1.3.1.c. subsidie; BZK
Stichting Sport en Leisurepark Landgraaf; Landgraaf; art. 1.3.1.c. subsidie; BZK
Stichting Sport- en Recreatie-Centrum Den Ekkerman; Veldhoven; art. 1.3.1.c. subsidie; BZK
Stichting Sport en Welzijn Ridderkerk; Ridderkerk; art. 1.3.1.c. subsidie; BZK
Stichting Sport Expertise Centrum; Oss; art. 1.3.1.c. subsidie; BZK
Stichting Sport Fryslân; Heerenveen; art. 1.3.1.c. subsidie; BZK
Stichting Sport Utrecht; Utrecht; art. 1.3.1.c. subsidie; BZK
Stichting Sportaccommodaties Beverwijk; Beverwijk; art. 1.3.1.c. subsidie; BZK
Stichting Sportaccommodaties Zutphen; Zutphen; art. 1.3.1.b. invloed; BZK
Stichting Sportbedrijf Amsterdam-Centrum (SpACe); Amsterdam; art. 1.3.1.c. subsidie; BZK
Stichting Sportbedrijf Smallingerland; Drachten; art. 1.3.1.c. subsidie; BZK
Stichting Sportbedrijf Zaanstad; Zaandam; art. 1.3.1.c. subsidie; BZK
Stichting Sportcomplex De Gooye; Dirksland; art. 1.3.1.c. subsidie; BZK
Stichting Sporthuis Bunnik; Odijk; art. 1.3.1.c. subsidie; BZK
Stichting Sportkompas; Brummen; art. 1.3.1.c. subsidie; BZK
Stichting Sportservice Amsterdam; Amsterdam; art. 1.3.1.c. subsidie; BZK
Stichting Sportservice Ede; Ede; art. 1.3.1.c. subsidie; BZK
Stichting Sportservice Nederland; Haarlem; art. 1.3.1.c. subsidie; BZK
Stichting Sportservice Noord-Holland; Haarlem; art. 1.3.1.c. subsidie; BZK
Stichting Sportservice Steenwijkerland; Steenwijk; art. 1.3.1.c. subsidie; BZK
Stichting Sportstimulering 's-Hertogenbosch; 's-Hertogenbosch; art. 1.3.1.c. subsidie; BZK
Stichting Sportsupport Kennemerland; Haarlem; art. 1.3.1.c. subsidie; BZK
Stichting Spring; Utrecht; art. 1.3.1.c. subsidie; BZK
Stichting Spring! Peuterspeelscholen; Hengelo; art. 1.3.1.c. subsidie; BZK
Stichting SPURD; Purmerend; art. 1.3.1.b. invloed; BZK
Stichting Stad en Natuur Almere; Almere; art. 1.3.1.c. subsidie; BZK
Stichting Stadbroek in Ontwikkeling; Sittard; art. 1.3.1.b. invloed; BZK
Stichting Stadsgehoorzaal Kampen; Kampen; art. 1.3.1.c. subsidie; BZK
Stichting Stadsring 51; Amersfoort; art. 1.3.1.c. subsidie; BZK
Stichting Stadsschouwburg en Philharmonie Haarlem; Haarlem; art. 1.3.1.c. subsidie; BZK
Stichting Stadsschouwburg Nijmegen en Concertgebouw De Vereeniging; Nijmegen; art. 1.3.1.c. subsidie; BZK
stichting Stadsschouwburg Utrecht; Utrecht; art. 1.3.1.c. subsidie; BZK
Stichting Stadstoezicht Kampen; Kampen; art. 1.3.1.b. invloed; BZK
Stichting Stedelijk Museum ’s-Hertogenbosch; ’s-Hertogenbosch; art. 1.3.1.c. subsidie; BZK
Stichting Stedelijk Museum Alkmaar; Alkmaar; art. 1.3.1.b. invloed; BZK
Stichting Stedelijk Museum Amsterdam; Amsterdam; art. 1.3.1.c. subsidie; BZK
Stichting Stedelijk Museum Breda; Breda; art. 1.3.1.c. subsidie; BZK
Stichting Stedelijk Museum Schiedam; Schiedam; art. 1.3.1.c. subsidie; BZK
Stichting Stedelijk Museum Zwolle; Zwolle; art. 1.3.1.c. subsidie; BZK
Stichting Sterker; Nijmegen; art. 1.3.1.c. subsidie; BZK
Stichting Steunpunt Informele Zorg Breda; Breda; art. 1.3.1.c. subsidie; BZK
Stichting Steunpunt Mantelzorg; Maastricht; art. 1.3.1.c. subsidie; BZK
Stichting Stimenz; Apeldoorn; art. 1.3.1.c. subsidie; BZK
Stichting Stimuleringsfonds Bornse Evenementen; Borne; art. 1.3.1.b. invloed; BZK
Stichting Stimuleringsfonds Volkshuisvesting Nederlandse Gemeenten; Amersfoort; art. 1.3.1.b. invloed; BZK
Stichting Stiwa Exploitatie en Beheer; Sassenheim; art. 1.3.1.c. subsidie; BZK
Stichting Strandexploitatie Veere; Westkapelle; art. 1.3.1.b. invloed; BZK
Stichting Streekmuziekschool Alphen aan den Rijn; Alphen aan den Rijn; art. 1.3.1.c. subsidie; BZK
Stichting Stroom Den Haag; 's-Gravenhage; art. 1.3.1.c. subsidie; BZK
Stichting SupportPunt Eindhoven; Eindhoven; art. 1.3.1.c. subsidie; BZK
Stichting SVB-BGT; Den Haag; art. 1.3.1.b. invloed; BZK
Stichting Swazoom; Amsterdam; art. 1.3.1.c. subsidie; BZK
Stichting Synthese, Regionaal Instituut voor Zorg en Welzijn; Mook; art. 1.3.1.c. subsidie; BZK
Stichting Taal aan Zee; Den Haag; art. 1.3.1.c. subsidie; BZK
Stichting TeamAlert; Utrecht; art. 1.3.1.c. subsidie; BZK
Stichting Telecommunication Metropolitan Area Network Nijmegen; Nijmegen; art. 1.3.1.b. invloed; BZK
Stichting The Mall Amsterdam; Amsterdam; art. 1.3.1.c. subsidie; BZK
Stichting Theater & Bioscoop De Nieuwe Kolk; Assen; art. 1.3.1.c. subsidie; BZK
